Sample ID,Source Plate,Source Well,Destination Plate,Destination Well,Volume
Mixture,Goldengate mixture,N4,1,A1,1500
Mixture,Goldengate mixture,N4,1,A2,1500
Mixture,Goldengate mixture,N4,1,A3,1500
Mixture,Goldengate mixture,N4,1,A4,1500
Mixture,Goldengate mixture,N4,1,A5,1500
Mixture,Goldengate mixture,N4,1,A6,1500
Mixture,Goldengate mixture,N4,1,B1,3000
Mixture,Goldengate mixture,N4,1,B2,3000
Mixture,Goldengate mixture,N4,1,B3,3000
Mixture,Goldengate mixture,N5,1,B4,3000
Mixture,Goldengate mixture,N5,1,B5,3000
Mixture,Goldengate mixture,N5,1,B6,3000
Mixture,Goldengate mixture,N5,1,C1,300
Mixture,Goldengate mixture,N5,1,C2,300
Mixture,Goldengate mixture,N5,1,C3,300
Mixture,Goldengate mixture,N6,1,C4,450
Mixture,Goldengate mixture,N6,1,C5,450
Mixture,Goldengate mixture,N6,1,C6,450
Mixture,Goldengate mixture,N7,1,C7,600
Mixture,Goldengate mixture,N7,1,C8,600
Mixture,Goldengate mixture,N7,1,C9,600
Mixture,Goldengate mixture,N5,1,C10,300
Mixture,Goldengate mixture,N5,1,C11,300
Mixture,Goldengate mixture,N5,1,C12,300
Mixture,Goldengate mixture,N5,1,D1,300
Mixture,Goldengate mixture,N5,1,D2,300
Mixture,Goldengate mixture,N5,1,D3,300
Mixture,Goldengate mixture,N6,1,D4,450
Mixture,Goldengate mixture,N6,1,D5,450
Mixture,Goldengate mixture,N6,1,D6,450
Mixture,Goldengate mixture,N7,1,D7,600
Mixture,Goldengate mixture,N7,1,D8,600
Mixture,Goldengate mixture,N7,1,D9,600
Mixture,Goldengate mixture,N5,1,D10,300
Mixture,Goldengate mixture,N5,1,D11,300
Mixture,Goldengate mixture,N5,1,D12,300
Mixture,Goldengate mixture,N5,1,F1,300
Mixture,Goldengate mixture,N5,1,F2,300
Mixture,Goldengate mixture,N5,1,F3,300
Mixture,Goldengate mixture,N5,1,F4,300
Mixture,Goldengate mixture,N5,1,F5,300
Mixture,Goldengate mixture,N5,1,F6,300
Mixture,Goldengate mixture,N5,1,F7,300
Mixture,Goldengate mixture,N5,1,F8,300
Mixture,Goldengate mixture,N5,1,F9,300
Mixture,Goldengate mixture,N5,1,F10,300
Mixture,Goldengate mixture,N5,1,F11,300
Mixture,Goldengate mixture,N5,1,F12,300
Mixture,Goldengate mixture,N5,1,G1,300
Mixture,Goldengate mixture,N5,1,G2,300
Mixture,Goldengate mixture,N5,1,G3,300
Mixture,Goldengate mixture,N5,1,G4,300
Mixture,Goldengate mixture,N5,1,G5,300
Mixture,Goldengate mixture,N5,1,G6,300
Mixture,Goldengate mixture,N5,1,G7,300
Mixture,Goldengate mixture,N5,1,G8,300
Mixture,Goldengate mixture,N5,1,G9,300
Mixture,Goldengate mixture,N5,1,G10,300
Mixture,Goldengate mixture,N5,1,G11,300
Mixture,Goldengate mixture,N5,1,G12,300
DW,DW,N8,1,A1,2125
DW,DW,N8,1,A2,2125
DW,DW,N8,1,A3,2125
DW,DW,N8,1,A4,3000
DW,DW,N8,1,A5,3000
DW,DW,N8,1,A6,3000
DW,DW,N8,1,A7,3625
